hastane_ismi,hastane_ilce,hastane_telefon,hastane_adres
Çatalca İlyas Çokay Devlet Hastanesi,Çatalca,0212 787 19 12,Ferhatpaşa Mahallesi İstanbul Caddesi 34540 Çatalca - İstanbul
Beykoz Devlet Hastanesi,Beykoz,0212 322 22 10,Saip Molla Caddesi Kısayol Sokak No:1 Beykoz - İstanbul
Bayrampaşa Devlet Hastanesi,Bayrampaşa,0212 567 67 74,İsmetpaşa Mahallesi Kenar Sokak No:22 Bayrampaşa - İstanbul
Başakşehir Devlet Hastanesi,Başakşehir,0212 488 01 70,Başakşehir 4. Etap 1. Kısım Yunus Emre Caddesi İETT Son Durağı Başakşehir - İstanbul
Bakırköy Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi,Bakırköy,0212 414 71 71,Tevfik Sağlam Caddesi No:11 Zuhuratbaba İstanbul PK:34147 Türkiye
Bağcılar Eğitim ve Araştırma Hastanesi,Bağcılar,0212 440 40 00,Merkez Mahallesi Mimar Sinan Caddesi 6. Sokak Bağcılar - İstanbul
Arnavutköy Devlet Hastanesi,Arnavutköy,0212 453 12 12,Merkez Mahallesi Fatih Caddesi No:3 Arnavutköy - İstanbul
Dr. Hüsamettin Kural Büyükada Devlet Hastanesi,Adalar,0216 382 82 89 - 0216 382 62 28,Büyükada Nizam Mahallesi Pk:34970 Adalar - İstanbul
Dr. Lütfi Kırdar Kartal Eğitim ve Araştırma Hastanesi,Kartal,0216 458 30 00 - 0216 441 39 00,Şemsi Denizer Caddesi E-5 Karayolu Cevizli Mevkii 34890 Kartal - İstanbul
Erenköy Ruh ve Sinir Hastalıkları Eğitim ve Araştırma Hastanesi,Kadıköy,0216 302 59 59 - 0216 360 91 64,Sinan Ercan Caddesi No:29 Kazasker Erenköy 34736 Kadıköy – İstanbul
Eyüp Devlet Hastanesi,Eyüp,0212 417 29 00,Silahtarağa Caddesi No:53-55-57 Eyüp - İstanbul
Gaziosmanpaşa Taksim Eğitim ve Araştırma Hastanesi,Gaziosmanpaşa,0212 945 30 00,Karayolları Mahallesi Osmanbey Caddesi No:120 Gaziosmanpaşa - İstanbul
Haseki Eğitim ve Araştırma Hastanesi,Fatih,0212 529 44 00,Millet Caddesi Aksaray - Fatih - İstanbul
Haydarpaşa Numune Eğitim ve Araştırma Hastanesi,Üsküdar,0216 542 32 32 - 0216 542 32 00,Tıbbıye Caddesi No:40 Üsküdar - İstanbul
İstanbul Eğitim ve Araştırma Hastanesi Osmaniye / Bakırköy Polikliniği,Bakırköy,0212 543 63 75,Marmara Forum AVM Yanı (E-5 Topkapı İstikameti Yan Yolu Bitişiğinde) Osmaniye Mahallesi Bakırköy - İstanbul
İstanbul Eğitim ve Araştırma Hastanesi Samatya Polikliniği,Fatih,0212 459 60 00,Kasap İlyas Mahallesi Org. Abdurrahman Nafiz Gürman Caddesi PK:34098 Fatih - İstanbul
İstanbul Eğitim ve Araştırma Hastanesi Zeytinburnu Polikliniği,Zeytinburnu,0212 582 68 68,Yenidoğan Mahallesi 41. Sokak No:3 Zeytinburnu - İstanbul
İstanbul Meslek Hastalıkları Hastanesi,Maltepe,0216 421 44 00,Başıbüyük Mahallesi 34854 Maltepe - İstanbul
İstinye Devlet Hastanesi,Sarıyer,0212 323 44 44,İstinye Caddesi No:98 34465 İstinye - Sarıyer - İstanbul
Kağıthane Devlet Hastanesi,Kağıthane,0212 280 22 22,Sanayi Mahallesi Yavuz Sultan Selim Caddesi Şahinler Sokak No:23 Pk:34416 Kağıthane - İstanbul
Kanuni Sultan Süleyman Eğitim ve Araştırma Hastanesi,Küçükçekmece,0212 404 15 00 - 0212 495 59 20,Altınşehir Turgut Özal Caddesi No:1 34303 Küçükçekmece - İstanbul
Kartal Koşuyolu Yüksek İhtisas Eğitim ve Araştırma Hastanesi,Kartal,0216 500 15 00,Denizer Caddesi Cevizli Kavşağı No:2 Cevizli - Kartal - İstanbul
Lepra Deri ve Zührevi Hastalıkları Hastanesi,Bakırköy,0212 570 10 26,"E-5 Karayolu üzeri, Bakırköy Ruh ve Sinir Hastalıkları Hastanesi Arkası Bakırköy - İstanbul"
Lütfiye Nuri Burat Devlet Hastanesi,Sultangazi,0212 594 12 53 - 54 - 55,A Blok : 50.Yıl Mahallesi 2106 Sokak No:8 - B Blok : 50.Yıl Mahallesi 2107 Sokak No:6 Sultangazi - İstanbul
Metin Sabancı Baltalimanı Kemik Hastalıkları Eğitim ve Araştırma Hastanesi,Sarıyer,0212 323 70 75,Rumeli Hisarı Caddesi No:62 34470 Baltalimanı - Sarıyer - İstanbul
Okmeydanı Eğitim ve Araştırma Hastanesi,Şişli,0212 314 55 55 - 0212 221 77 77,Darülaceze Caddesi No:25 Okmeydanı - Şişli - İstanbul
Sancaktepe Ağız ve Diş Sağlığı Merkezi,Sancaktepe,0216 586 36 00,Eyüp Sultan Mahallesi Müminler Caddesi No:1 34885 Sancaktepe - İstanbul
Sarıyer İsmail Akgün Devlet Hastanesi,Sarıyer,0212 242 06 65,Dursun Fakıh Sokak No:1 Sarıyer - İstanbul
Silivri Prof. Dr. Necmi Ayanoğlu Devlet Hastanesi,Silivri,0212 727 21 00,Yeni Mahalle Efrahim Öztürk Sokak No:1 Silivri - İstanbul
Sultanbeyli Devlet Hastanesi,Sultanbeyli,0216 564 24 00,Mehmet Akif Ersoy Mahallesi Cami Caddesi No:3 Sultanbeyli - İstanbul
Süreyyapaşa Göğüs Hastalıkları Eğitim ve Araştırma Hastanesi,Maltepe,0216 421 42 00,Başıbüyük Mahallesi 34844 Maltepe - İstanbul
Şile Devlet Hastanesi,Şile,0216 712 09 99,Balibey Mahallesi Atatürk Caddesi No:1 Şile - İstanbul
Şişli Etfal Eğitim ve Araştırma Hastanesi,Şişli,0212 373 50 00,Şişli Etfal Eğitim ve Araştırma Hastanesi Halaskargazi Caddesi Etfal Sokak 34371 Şişli - İstanbul
Tuzla Devlet Hastanesi,Tuzla,0216 494 09 52 - 494 09 53 – 494 09 54,İçmeler Mahallesi Enise Sokak No:5 34947 Tuzla - İstanbul
Ümraniye Eğitim ve Araştırma Hastanesi,Ümraniye,0216 632 18 18,Elmalıkent Mahallesi Adem Yavuz Caddesi No:1 Ümraniye - İstanbul
Üsküdar Devlet Hastanesi,Üsküdar,0216 474 79 00,Barbaros Mahallesi Veysi Paşa Sokağı No:14
Bahçelievler Devlet Hastanesi,Bahçelievler,0212 496 70 00,Kocasinan Merkez Mahallesi Karadeniz Caddesi No:48 Bahçelievler - İstanbul
