,Name,Location,Telephone
0,ADALAR İTFAİYE İSTASYONU,Maden Mah. Kumsal Sok. No:66 Büyükada Adalar/İSTANBUL,T. 0 (216) 382 68 21
1,AĞAÇLI PLAJI,Ağaçlı Plajı / EYÜP,T. 
2,AĞLAYANKAYA PLAJI,AĞLAYANKAYA PLAJI / ŞİLE,T. 
3,AĞVA İTFAİYE İSTASYONU,Şile Cd. No:14 Ağva Şile/ISTANBUL,T. 0 (216) 721 75 88
4,AĞVA PLAJI,Ağva Plajı / ŞİLE,T. 
5,AKÇAKESE PLAJI,Akçakese / ŞİLE,T. 
6,AKPINAR MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Akpınar Mahallesi / EYÜP,T. 0 (535) 729 06 23
7,AKŞEMSETTİN İTFAİYE İSTASYONU,Mevlana Mah. 880/1 Sok. Akşemsettin Gaziosmanpaşa/ ISTANBUL,T. 0 (212) 419 42 15
8,ALACALI MAHALLESİ GÖNÜLLÜ İSTASYONU,Alacalı Mahallesi / ŞİLE,T. 0 (539) 224 24 33
9,ALACALI PLAJI,Alacalı Plajı / ŞİLE,T. 
10,ALİBEYKÖY İTFAİYE İSTASYONU,Çırçır Mah. Atatürk Bulvarı Gündogdu Sk. Eyüp/ ISTANBUL,T. 0 (212) 627 94 28
11,ARNAVUTKÖY İTFAİYE İSTASYONU,Nene Hatun Mah. Hasan Tahsin Caddesi NO:36 Arnavutköy/İSTANBUL,T. 0 (212) 597 12 62
12,AVCILAR İTFAİYE İSTASYONU,Üniversite Mah. Sevi Sok. No:18 Avcılar/İSTANBUL,T. 0 (212) 591 00 66
13,AYAZMA PLAJI,Ayazma Plajı / ŞİLE,T. 
14,BAĞCILAR İTFAİYE İSTASYONU,Fevzi Çakmah Mah. Dağ Yolu Cad. No:111 Bağcılar/İSTANBUL,T. 0 (212) 430 46 85
15,BAHÇEŞEHİR İTFAİYE İSTASYONU,2.Kısım  Pazartürk Cad. Üzeri Başakşehir / ISTANBUL,T. 0 (212) 669 38 60
16,BAKIRKÖY İTFAİYE İSTASYONU,Kartaltepe Mah. Koşuyolu Cad. No:45 Bakırköy/İSTANBUL,T. 0 (212) 466 17 32
17,BALABAN MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Balaban Mahallesi / ARNAVUTKÖY,T. 0 (532) 394 50 10 
18,BALAT İTFAİYE İSTASYONU,Valide Sultan Köprüsü Altı Balat Fatih/İSTANBUL,T. 0 (212) 621 17 32
19,BAŞAKŞEHİR İTFAİYE İSTASYONU,Başakşehir 5.Etap 2. Şeyh Şamil Cad. Başakşehir/İSTANBUL,T. 0 (212) 488 23 54
20,BAYRAMPAŞA İTFAİYE İSTASYONU,Altıntepsi Mah. Yahya Kemal Cad. No:85-87 Bayrampaşa/İSTANBUL,T. 0 (212) 493 41 56
21,BEŞİKTAŞ İTFAİYE İSTASYONU,Yıldız Parkı İçi Orhaniye Kapısı Beşiktaş/İSTANBUL,T. 0 (212) 227 81 19
22,BEYKENT İTFAİYE İSTASYONU,Cumhuriyet Mah. Turgut Özal Bulvarı Büyükçekmece/ ISTANBUL,T. 0 (212) 872 35 71
23,BEYKOZ İTFAİYE İSTASYONU,Mehmet Yavuz Cad. No:146 Beykoz / İstanbul,T. 0 (216) 323 54 14
24,BEYLİKDÜZÜ İTFAİYE İSTASYONU,Barış Mah. Enver Adakan Cad. No:30 Beylikpazarı Arkası Beylikdüzü/İSTANBUL,T. 0 (212) 872 16 87
25,BEYOĞLU İTFAİYE İSTASYONU,Harbiye Mah. Darülbedayi Cad.  Şişli/İSTANBUL,T. 0 (212) 230 22 54
26,BİNKILIÇ İTFAİYE İSTASYONU,Fatih Mah. Lojman Sk. Binkılıç Çatalca/ ISTANBUL,T. 0 (212) 779 35 75
27,BOZHANE İTFAİYE İSTASYONU,Bozhane Köyü Kılıçlı Cad. Kiraz Sok. No:1 Beykoz-İstanbul,T. 0 (216) 433 38 60
28,BURGAZADA İTFAİYE İSTASYONU,Yeni Yalı cd. No:1 Burgazada Adalar/ISTANBUL,T. 0 (216) 381 28 02
29,BÜYÜKBAKKALKÖY İTFAİYE İSTASYONU,Büyükbakkalköy Mah. Samandıra Cad. Setüstü Mevkii No:3 Maltepe/ISTANBUL,T. 0 (216) 311 71 27
30,BÜYÜKÇAVUŞLU İTFAİYE İSTASYONU,Büyükçavuşlu Mah. Cumhuriyet Cad. No:21 Silivri/ ISTANBUL,T. 0 (212) 741 67 54
31,BÜYÜKKILIÇLI MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Büyükkılıçlı Mahallesi / SİLİVRİ,T. 0 (532) 242 43 77
32,ÇANTA İTFAİYE İSTASYONU,Mimarsinan Mah. Atatürk Bulvar Cd. No:105 Çanta Silivri/ ISTANBUL,T. 0 (212) 746 58 16
33,ÇANTA PLAJI,Çanta Plajı / SİLİVRİ,T. 
34,ÇATALCA İTFAİYE İSTASYONU,Kaleiçi Mah. Şair Necmettin Halil Onan Bulvarı Makbul Sok. No:54 Çatalca/İSTANBUL,T. 0 (212) 789 65 04
35,ÇAVUŞBAŞI İTFAİYE İSTASYONU,Çiftlik Mah. Mehmet Akif Ersoy Cad. (Bakkalcık Yolu) Jandarma Karakolu Yanı Çavuşbaşı Beykoz/İSTANBUL,T. 0 (216) 479 24 11
36,ÇAYIRDERE MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Çayırdere Mahallesi / SİLİVRİ,T. 0 (531) 346 37 62
37,ÇENGELKÖY İTFAİYE İSTASYONU,M.Akif Ersoy Mah. Bosna Bulvarı 115/2 Çengelköy/ISTANBUL,T. 0 (216) 422 38 55
38,ÇİLİNGOZ PLAJI,Çilingoz Plajı / ÇATALCA,T. 
39,ÇİROZ PLAJI,Çiroz Plajı / BAKIRKÖY,T. 
40,DAĞYENİCE MAHALLESİ GÖNÜLLÜ İFFAİYE İSTASYONU,Dağyenice Mahallesi / ÇATALCA,T. 0 (532) 436 12 55
41,DANAMANDIRA MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Danamandıra Mahallesi / SİLİVRİ,T. 0 (542) 584 80 73
42,DAVUTPAŞA İTFAİYE İSTASYONU,Çiftehavuzlar Mah. Yıldız Cad. Üzeri Esenler/İSTANBUL,T. 0 (212) 482 97 04
43,DEĞİRMENÇAYIRI MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Değirmençayırı Mahallesi / ŞİLE,T. 0 (532) 733 53 37
44,DOĞANCILI PLAJI,Doğancılı Plajı / ŞİLE,T. 
45,DUDULLU OSB İTFAİYE İSTASYONU,Yeni Sanayi Mah. Nato Yolu Cad. DES Sanayi Sitesi B Kapısı No:2 Ümraniye/ISTANBUL,T. 0 (216) 314 05 90
46,DURUSU PLAJI,Durusu Plajı / Karaburun / ARNAVUTKÖY,T. 
47,EMİNÖNÜ İTFAİYE İSTASYONU,Alemdar Mahallesi Çatal Çeşme Sokak No:56 Eminönü/Fatih,T. 0 (212) 511 32 09
48,ERENKÖY İTFAİYE İSTASYONU,Tütüncü Mehmet Efendi cd. Tazminat Sok. No:72 Erenköy Kadıköy/ISTANBUL,T. 0 (216) 350 10 31
